0_n	0_p	1_n	1_p	2_n	2_p	3_n	3_p	4_n	4_p	5_n	5_p	6_n	6_p	7_n	7_p	8_n	8_p	9_n	9_p	10_n	10_p	11_n	11_p	12_n	12_p	13_n	13_p	14_n	14_p	15_n	15_p	16_n	16_p	17_n	17_p	18_n	18_p
TM2D1	0.5847020932540135	BCL2	0.33180279778810096	MYO9A	0.00039001262831273747	SLC30A6	0.2723661536196842	CIITA	2.781618073441788e-25	RPRD2	0.012156548703908003	SLC15A4	0.868648885086926	TGFBR1	4.521559013942185e-08	MBOAT1	1.4090224843312357e-07	SLMAP	0.7808911211462805	ZNF516	0.22192184895132294	TYMP	0.019932453897997884	IL18R1	0.15098566972873395	CDK5RAP2	0.5022999307663577	MFSD11	3.065333039619424e-08	NRCAM	0.45733631136067165	ZC3HC1	0.6599555391498542	QSOX1	0.6216746092634291	NOB1	0.04068895682740733
CHTF18	0.5816946355130526	MCOLN2	0.33317220046398566	ZNF699	0.0003913035565871436	CLSTN1	0.27114459723722795	GSAP	2.7914850476534087e-25	FEZ2	0.012180679169225028	NAGK	0.8714008287465924	CYFIP1	4.559758787301841e-08	MAD1L1	1.466299746141862e-07	USP18	0.7765192834756187	CTSZ	0.2191599639233014	HADH	0.019762516637848046	ZNF333	0.15126426573028098	TBC1D25	0.5017680722575524	LIX1L	2.9933050920208246e-08	PLET1	0.45823931837620013	ERVMER61-1	0.6625628512463797	LUCAT1	0.6211986746836247	C2CD5	0.04073686935199826
FGFBP2	0.5744258696993034	RAB6A	0.33352782540827963	HCK	0.0003930851033084272	ATP2B1	0.26634412969150345	PRKX-AS1	2.8212945542832827e-25	KCTD12	0.0122533254242818	AC096564.1	0.8738694138118581	AC046134.2	4.735564379477219e-08	AP1S2	1.520603652394989e-07	AL024508.1	0.7695390983951683	CCDC62	0.2191599639233014	MID1IP1	0.019490061957701012	AC006059.1	0.15154325320379838	PFKFB3	0.4963601863616538	SESN3	2.6465480404151054e-08	TRNAU1AP	0.45903026920166945	SNX9	0.6662750180684309	SIRPB2	0.6178715783792752	CYTOR	0.04088089393091232
GOLM1	0.5718116437211822	DDX60	0.3341889212514171	ROR1	0.0003943855309020302	CPNE3	0.2659587832980659	RASGEF1A	3.085930067797246e-25	FBXO32	0.01229790909361401	CDK8	0.8745342437368312	ATG4D	4.758829575345488e-08	ACYP2	1.604074813818321e-07	NAV2	0.7619258665581371	GATAD1	0.2163694250857382	PPIF	0.019426433907207583	KRCC1	0.15210240369681227	AP000919.2	0.48762600519190336	WWOX	2.3122030331294143e-08	STK40	0.4593129369222807	PRRC1	0.6705472334155496	DRAIC	0.6170805630983576	ZNF740	0.04102534978030148
MAPK9	0.5707407794237502	AP002336.2	0.3363305392258723	ZER1	0.0003964254990090974	SELENON	0.26586250669978106	C18orf25	3.0877500996446382e-25	LINC00894	0.01230603063728544	TTC21B	0.8761491985679131	AC004687.1	4.8326723434165505e-08	TMCC3	1.6339879033843572e-07	CCDC86	0.7614915120592778	AC006001.2	0.21594239169428875	PCDH9	0.019347154121360607	PDZD2	0.15219574795314733	TGFBR3	0.48731187270257603	PYGL	2.2450466044312468e-08	LINC01876	0.4593694821640505	DUSP5	0.6710992674481406	FBXW7	0.6162899918698366	AL078459.1	0.04102534978030148
MTHFS	0.5685351433223131	ENTPD1-AS1	0.3374558553024073	ATP2B1-AS1	0.0003979824637674358	MBD3	0.265285351022152	SNX4	3.118853893989678e-25	AC116337.3	0.012572580550187536	HEXIM2	0.8770994133818034	ZNF738	5.046800261931613e-08	ENPP2	1.8325981258914818e-07	CAMSAP2	0.7600803795350071	GABPB1	0.20867138771748484	TIMM8A	0.018947209729461293	CLCA4-AS1	0.15242929937293642	AL024508.1	0.48616098902285854	PTCH2	2.176516421083088e-08	AC012447.1	0.4634509714345524	AC113414.1	0.6737238492621778	ZBTB8OS	0.6132898841167367	STAT1	0.04107359773760968
KIF18A	0.5676006514787129	MAPK7	0.33968802539401977	ATXN3	0.00040185848349114843	ABHD8	0.26150728965910097	ZFP90	3.319920321506403e-25	AC146944.4	0.012589149340643714	MTRR	0.8814726622635866	EHBP1	5.057391224578714e-08	SLC35B2	1.8325981258914818e-07	SNTB1	0.7591039088705	AC106865.2	0.20861935484573946	RBM10	0.018947209729461293	AL136962.1	0.15247604237228207	AL139384.1	0.48292551300138653	AC009120.2	2.016987218186029e-08	PICALM	0.4650436573848806	DNMT3A	0.6753835312353557	CAMK4	0.6088804658074652	CPEB4	0.04126707057469016
C11orf24	0.5659670625504272	APOL1	0.3418263707256036	BID	0.00040351852599335126	PSAP	0.2572957381082571	AC008781.2	3.331677927485535e-25	ICA1L	0.012605737459595437	ZBTB39	0.8832800672143225	ZNF208	5.117814811474657e-08	EPB41L2	1.870438472566084e-07	LCP2	0.7572605130418397	CHROMR	0.20851531731321027	SFT2D1	0.018769220709893487	CACNA1F	0.15256956109678022	AGER	0.47824974044493407	YWHAE	1.9182882134567945e-08	SLC37A2	0.46835245366960654	CPT2	0.6760755320337954	ZNF836	0.6066810611493899	ARMH4	0.04131555921800205
SLC11A1	0.5641361352598541	GAB1	0.344517872024935	SLC39A8	0.00040963220104513144	RGL4	0.2564027734540367	GAB2	3.419170446743942e-25	IL1RAP	0.012739140510553755	AC026470.2	0.8835655027420534	UTP6	5.1285501828908934e-08	PPP1R35	1.9025480418854912e-07	WWC3	0.7547687048277525	SIPA1L3	0.20633920940609818	CTSL	0.018478355305899252	AL020996.1	0.15261633682453626	EXOC5	0.47824974044493407	YBX3	1.8669574370521637e-08	AREL1	0.47558524025100957	AC104958.2	0.6763524090306996	SLC16A1	0.6063671505378554	GALM	0.04160750553093483
CHM	0.5636040379144203	MYBL1	0.34472546918713	RGS12	0.0004114915767529799	TIMM10B	0.2555587943778964	CCDC7	3.4393704837129145e-25	DIP2C	0.012939464648732593	POC1B	0.8836606512789658	FBXO32	5.218864439570571e-08	MROH8	2.0171247364181348e-07	APAF1	0.7536861037988499	TENT4A	0.20587505398647965	FKBP11	0.01816895843164518	LINC02404	0.15273332388709296	CCDC92	0.4708202510934728	NAALADL2	1.863208671633294e-08	BRAT1	0.47685436035413176	HIST2H2BF	0.6764908639436693	AAAS	0.6060533125796121	MED26	0.041852126591495675
MLH1	0.5604165434946863	KLHL29	0.34816233808349395	NR4A1	0.00041909434279884233	TULP2	0.2547634776779206	LETM2	3.519286883090634e-25	RTCA-AS1	0.013067416372148654	CERNA1	0.8860875022736767	SEC61A1	5.3367182115798214e-08	AC245060.5	2.1311198329725166e-07	MTURN	0.7528744705193549	CWF19L1	0.20556603873552437	SLC1A7	0.01808672520936642	LINC02422	0.15285037917043273	MRPL19	0.47010135274731435	CNTNAP2	1.750554858143222e-08	ROBO1	0.4770853085351322	FMNL2	0.6803720271468674	NOP14	0.6058964208600086	PAM16	0.04190119660221171
SLC2A6	0.5585612137753724	ABCA7	0.3491034333816989	GALNT7	0.0004193528868965113	HPS1	0.2539698840564413	SIK2	3.601042996739781e-25	FAM169A	0.013205130398049509	ZBTB2	0.8865158816876515	RAB12	5.3778230181422295e-08	BANK1	2.2225568420462486e-07	VPS53	0.7502250424888526	MEF2A	0.2050003864462373	GUCD1	0.017695063037854713	SEC24B-AS1	0.15367167804085208	AC092343.1	0.469383061204912	FAM222B	1.714783062175069e-08	ABHD3	0.4800931994823703	MCEMP1	0.6814824932943628	LRIG1	0.6055826919688854	MITD1	0.04204869889040135
MFSD4B	0.5570394291980113	Z99572.1	0.35015098765064967	AL022328.3	0.00042342290699150486	ABHD2	0.25341073728087904	AP3M2	3.615915118344988e-25	ZNF335	0.013280984220889356	LDLRAP1	0.8865158816876515	SSH2	5.4230145582359913e-08	XCL1	2.3224853677453904e-07	TMCO4	0.7443959194952412	SDHAF4	0.20392364886109482	ERICH1	0.017673117463487004	AC090739.1	0.15369519292557282	IQCB1	0.4691779465693301	RGPD2	1.6453566893417024e-08	CIDEB	0.48020909371385	AL355076.2	0.683427469325562	MED26	0.6054258548089768	LACTB2-AS1	0.04204869889040135
SUPT4H1	0.5546615677707993	NF1	0.3502034176566947	C2CD5	0.00042955306596842544	SYTL2	0.2520630068039015	HEATR5A	3.647989211278218e-25	TIGAR	0.013355039367330767	SMCHD1	0.8868966912325063	SCMH1	5.611396320176941e-08	INIP	2.333502277600075e-07	PANK3	0.741809868194488	IFNGR2	0.20127516718816396	CDCA4	0.0171464110337971	PLXNA4	0.15378927982089327	UST	0.45989785300278074	CLCA4-AS1	1.540071389034061e-08	PCNX4	0.4813688744034257	DUSP11	0.684122613947618	ABCC4	0.6054258548089768	GMDS	0.04209796386059439
COMMD10	0.5525520886754574	AC006299.1	0.35420266365424513	ZNF493	0.0004322942384144605	CKB	0.2517847911100304	ZC4H2	4.0651365664556326e-25	ZNF493	0.013368145742733808	SLC16A4	0.8953762994093225	PLCB1	5.6231336304194886e-08	LARS2	2.4730420424304774e-07	BPHL	0.740733204763306	STX8	0.20056642032479366	SMCO4	0.01671689953133785	TASP1	0.1544019121932131	ARHGEF11	0.45888436551592804	RECQL	1.4760353213929693e-08	FBXW8	0.4814849362652901	WDR89	0.6849571408934317	CYB561	0.604955452541476	ATF6	0.04214727766227649
YWHAE	0.5520911653987237	ZNF490	0.3545724607630675	SCFD1	0.000438813898999488	MAPKAPK5-AS1	0.2515994329993042	NOX3	4.0651365664556326e-25	IL6	0.01338126348523114	ZMYM6	0.8957576936664797	AHI1	5.789975209721118e-08	RRP12	2.4948244904511475e-07	TENT5A	0.7340692947181967	RAB4B	0.19940600781833862	SLC16A10	0.01657123623980559	DENND4B	0.15477983729980763	SDK1	0.44781897124385583	MTFMT	1.35976097764762e-08	WDR12	0.48450788335993145	HHEX	0.6852354020703425	RIPK2	0.6011981493474313	AC013264.1	0.04244418798831389
RALGPS1	0.5507752829513968	FAM126A	0.35504827228718705	DDX60	0.0004437864754200035	RRAS	0.251113320877865	APAF1	4.06992110608745e-25	MZF1-AS1	0.0134514170967761	POFUT1	0.8957576936664797	SLC9A7	5.953325584819227e-08	RCC1L	2.5492353455766163e-07	HSPB1	0.7314950530341112	DUSP16	0.1982003803579231	PARP16	0.015992972609393283	TUBG2	0.15492174021128727	SGMS1	0.4453254222433355	SMIM14	1.0727378937164336e-08	ACTB	0.4846243556315224	IMMP1L	0.6853745486766118	SLC1A5	0.6001042571090911	THEMIS	0.0426431094858067
PHLPP1	0.5505122917684293	KIF1B	0.35854986100649244	EEFSEC	0.00045602927243553214	IL17RC	0.24841698075913288	UBE4B	4.479215607123872e-25	ANKRD50	0.01347780837598632	ACTR1A	0.8987143094456014	AP000919.2	6.049264829482891e-08	MAGED1	2.6490069289044033e-07	DCAF7	0.7296734569729835	XRCC4	0.19575546164902857	TEX14	0.01554321166988309	MIR22HG	0.1549927287071571	SGSM3	0.4449271901563464	CNGA4	1.053198364136531e-08	KLHL32	0.4852069445213769	LIMD1-AS1	0.690251374044265	AGO1	0.5997918819291967	YWHAH	0.04289286943579367
GHRL	0.5493624326775097	SLC9A3R1	0.36030877124029714	NAPG	0.00046165487072086285	COL1A1	0.24688207432833698	PARP11	4.548170609367484e-25	LRIG1	0.013486615631071433	ATP8B2	0.9014814499680048	ARHGAP32	6.142433553828837e-08	RAB40C	2.6686905101675485e-07	COPG2	0.7228294318526667	TTTY10	0.181220102583333	PKN2-AS1	0.015452007795364164	AL158212.2	0.15558526044365623	SLC16A1	0.4429390787599983	PTDSS2	1.046762390399722e-08	TRIM14	0.485673288547104	IPO7	0.6912282922588877	ZNF880	0.5997918819291967	CMSS1	0.04289286943579367
SFMBT1	0.548082557877897	NDFIP2	0.36143089286076835	MATK	0.0004670591054150268	PIPOX	0.24667640010150182	NF1	4.626323423481015e-25	MTMR8	0.013606012280638484	AC007622.2	0.9022450112531779	IL2RB	6.15097204770597e-08	L3MBTL4	2.6812898977065254e-07	FNIP1	0.7222956667775489	FUZ	0.18084501712964973	ZC3H3	0.015335437965303586	ARID3A	0.15577523326452222	SCARB2	0.441550427865675	FBXO31	9.704614153956001e-09	FBXO41	0.49011562984494095	ATPAF2	0.6930439324489808	NSL1	0.5982311112639128	FLAD1	0.043043318149121185
ABCA1	0.546640367708622	JDP2	0.36443391428317906	CD300C	0.0004759063974322188	TMEM68	0.24640235458465531	SPATA21	4.975780284273661e-25	MEGF9	0.013610452255493734	TBC1D24	0.9056821461420538	TBC1D2	6.211064330129499e-08	MYBBP1A	2.7636685089389313e-07	CGAS	0.7221889299717876	ALMS1	0.17967659071432251	LINC01560	0.015277443888174069	KLF4	0.15615570692226174	KIF5C	0.4412531845047143	LST1	9.48839400668328e-09	LYZ	0.4928149963435021	MILR1	0.6941621272141312	SPIRE1	0.597607319624343	SCFD2	0.04334555389749043
AC009432.2	0.5447421750264907	EXOC1	0.36572568346318446	MAFF	0.00047853240693984867	LINC01010	0.2435830406211732	RPRD2	5.034543180147539e-25	CNNM2	0.013663831873034733	ASXL2	0.909216598361276	ZMYM6	6.263024387220963e-08	AL022328.4	2.812373598233136e-07	AP000919.2	0.7193090864493588	AC026341.1	0.1785369858602961	YWHAQ	0.015174819945998959	CRPPA	0.15615570692226174	RSRC1	0.4366113609979716	AC002429.2	9.382047291162584e-09	PSAP	0.49540443601324546	NRDE2	0.696400512949688	ZNF571	0.593093697885707	EPHB6	0.04359878486972247
APBA3	0.5437943080661163	COMMD1	0.3678849736675346	AL360270.1	0.00048038843471042244	TNFRSF1A	0.2432209157252262	TRAPPC6B	5.45597905775751e-25	TBC1D32	0.013697287962579437	SAMD9L	0.9117969318321193	DCAF10	6.341754947016639e-08	LINC00278	2.9834490810208936e-07	FAM53B	0.7181369555911935	GATA3	0.17505896815706645	MPEG1	0.01514287469720576	TBC1D22B	0.15653688514783812	FAM234A	0.4315086580189912	RRP12	8.935976565380381e-09	SMC1A	0.4997757364634843	ADCY3	0.6994826120109823	XCL2	0.5927829901648098	CAPZA2	0.043649580728105625
PSMB10	0.5424556218264255	WDR19	0.36940119032850594	HDAC8	0.0004854036570909595	TTYH3	0.24299477989445628	EZH2	5.465588340710262e-25	MFSD8	0.013715160777911094	CHROMR	0.9121314881977775	ZNF569	6.350561747459725e-08	MTMR12	3.0015013808662883e-07	AP001636.3	0.7177108904332367	AC239868.1	0.17419172176453357	AL450344.3	0.01485802224948032	HLTF	0.1566800087624989	GCA	0.4305313471503487	NAGK	8.731943535881304e-09	NLRP1	0.500012604837405	ID1	0.700885208297013	AC010967.1	0.5921617986845533	HEATR1	0.04405774979037617
HACD4	0.5423903621072734	SASH3	0.36950963997942	USP32	0.00048768136340158016	LAMTOR5-AS1	0.24027024560435706	ZBTB43	5.741563786988266e-25	EAF1-AS1	0.0138025860366098	SEC24D	0.9147606826345507	MIR3945HG	6.363794168551651e-08	B3GNT2	3.005527302761174e-07	FKBP14	0.716539664267321	LACTB2	0.17405508194441222	BTK	0.014726714547155944	PREP	0.15710997498284524	METAP1D	0.4278017203746184	ANAPC10	8.163427773215049e-09	HIST1H2BD	0.500131061359127	TGFBI	0.7020080201942343	IFNG	0.5913857297231593	LINC02611	0.04410899675434196
AL035427.1	0.5420641222368079	RFX5	0.3705952248025367	POLG2	0.0004891721897823006	TTC38	0.24011328926052922	STXBP5	6.884909999149844e-25	CTDP1	0.013807082618811532	PGAP3	0.9190650002080736	MIIP	6.443751446082861e-08	PHLPP1	3.1099680168230437e-07	GALNT2	0.7152627231037767	POGZ	0.1695461072671568	AC010149.1	0.014636647646342937	AC073529.1	0.15734923125028666	SLC9A6	0.4278017203746184	CDC40	7.968363423795682e-09	ENPP2	0.5004865202364166	RNF157	0.7128480390197044	HDAC3	0.5913857297231593	TCOF1	0.044160294026859816
DPH7	0.5413467392416784	NCOA6	0.3720911336706646	IFT43	0.0004984092947246712	AC008937.2	0.24011328926052922	CFAP44	8.234175769248895e-25	C18orf65	0.014217109800820684	A2M-AS1	0.9229887809678686	ATF5	6.466133974135922e-08	MTRNR2L8	3.175154733831922e-07	FUT8	0.7145182082892915	AOPEP	0.1684326706965198	PSAP	0.01451014032819876	MED21	0.15758876353727547	POGZ	0.4235327272952377	AC108471.2	7.330134353496274e-09	AC073342.1	0.5011978396932755	RSPH3	0.7135539740561507	MSS51	0.5909203128215632	NR4A1	0.04452078669932776
MRPL36	0.540238989779785	AC116535.1	0.3725542617738534	LINC00278	0.0005001338535300158	PRDX3	0.2384584553171083	RGS2	8.243804789624839e-25	MED26	0.014332896373107416	VARS	0.9247120143086682	CTR9	6.63412168324552e-08	SNHG31	3.2157578209469203e-07	SDHAF4	0.7131362589960963	LINC00342	0.16433884565103474	ETV6	0.014442656625144669	TMEM163	0.15782857200280553	UVRAG	0.42314587703393947	MICU2	7.117621557995966e-09	ZDHHC14	0.5017910147594711	ASTE1	0.7158146121669378	PPM1M	0.5904550644602025	ABCA5	0.044572487780088745
VPS11	0.5368576339402324	HAUS2	0.3737546038911368	AL033523.1	0.0005056488390170488	MRPL40	0.23663414136083583	LRRFIP2	8.57791414622698e-25	LRRC58	0.01443547579139161	JADE1	0.9262440741698758	AKT2	6.652533746490872e-08	MANBAL	3.2438272174774467e-07	ZBTB2	0.7128174810863974	TMEM63A	0.1613072459095206	GRIN2C	0.014393751565110177	B4GALT6	0.1578765668513148	SGO1-AS1	0.42275923371332735	ELOVL5	7.080961606503575e-09	GPM6A	0.5034538797958011	CD8B	0.717511728633344	C1orf131	0.5898349957448981	KDM5D	0.04462423950454617
ZYG11B	0.5367927123110277	MTFR1	0.3764915417806448	GZMH	0.0005060596036084422	AC092120.3	0.23610206730055516	PIK3AP1	9.341265839006446e-25	ZC4H2	0.014543409643385605	ACSL4	0.930267018209148	PTPRE	6.675618448079252e-08	ZBTB17	3.2525114389924776e-07	EZH2	0.7081478604202522	PAFAH1B2	0.160234829320115	LINC01303	0.014235817332012493	GGACT	0.1579245727545885	KANK1	0.42237279739515676	AP002075.1	7.0045724358456624e-09	BGLAP	0.5125313947736301	MAP3K5	0.718643915332102	DHCR7	0.5881313560046861	PRPF19	0.04498792273407191
EBP	0.5290953380565075	DHRS7B	0.38006799438708094	BCL3	0.0005063678811765442	CYB561D2	0.23504045910313576	RCOR3	9.3467197413705e-25	SMG7	0.014637842909334498	ARL15	0.9313209451462031	SLA	6.719693357151174e-08	CD22	3.2568619622820266e-07	H1F0	0.7010583808879909	ANKIB1	0.15929556873602668	SCAPER	0.013835858293162246	SLC14A1	0.15797258971389572	PXK	0.42237279739515676	UFL1-AS1	6.289966134684628e-09	FAM193A	0.5210881545798856	CD40	0.7187854821648942	FBXO31	0.5870484072257263	AL450384.2	0.04498792273407191
UGT8	0.5290308929787917	ZNF143	0.38311047529850795	ZNF438	0.0005125703177628754	IL18RAP	0.23231362607864225	FCRL6	9.606643337132277e-25	ADRB2	0.014723294579625918	ZNF419	0.9322791651045834	RIF1	6.759367650880419e-08	FRMD4B	3.7239569124813164e-07	GPR155	0.699474717836689	ABHD15-AS1	0.1565027782531332	FGFBP2	0.013829964675171348	FFAR2	0.15830901810454323	SDHAF4	0.4213111653781487	RORA-AS1	6.081572365198063e-09	ZNF740	0.5260626704011692	LIN54	0.7197767199734066	MOB2	0.5862754382236786	ANGEL2	0.04514455036472213
SPIN2B	0.5289020148067235	EFL1	0.3849431047719658	IER3	0.0005181079709412373	ZBED5-AS1	0.23187592557414483	AL589693.1	9.960504805542733e-25	GNLY	0.014799620415540074	SH2B1	0.9353461217525801	XPNPEP1	6.796915388450572e-08	UST	3.726434983344532e-07	LCORL	0.6988416180053525	CHD7	0.1564187316618352	PGM2	0.012976208327876843	SS18L1	0.15869417168974043	SLC39A8	0.4173679901837227	RNF19A	6.065823228820701e-09	HERC1	0.5270361298845008	PINX1	0.7206267276182295	AC127526.2	0.5847309178404299	AKT2	0.04545918511387977
CDC40	0.5260064864330039	SLX4IP	0.3853881844120194	ZDHHC21	0.000518423084481886	RNF135	0.23117682318771504	SLC6A6	1.0521780908679513e-24	NBEA	0.014828332374287396	PLAAT3	0.9361130126510627	CYTOR	6.796915388450572e-08	AC009315.1	3.870346174583847e-07	ACAD10	0.6969435763914573	AC012447.1	0.1552456711380333	SESN3	0.012467269109967788	LATS2	0.1590800341581602	CCDC7	0.41708032175397336	HLA-DQA2	6.021936409367777e-09	SASS6	0.528619959924798	NBEAL2	0.7209101402946427	ACOT13	0.5821095844919146	BCR	0.045511803498286804
TRPM7	0.5254283545717047	AC023906.4	0.38622355587735735	MDN1	0.0005226417032260094	NINJ1	0.23108954078996136	ZNF208	1.0657603941371164e-24	FAM53B	0.014977460813065285	DYNC2H1	0.938605813788706	TAOK1	6.829935336008905e-08	HEBP2	4.239915840672128e-07	AC025682.1	0.679321312649975	WDR3	0.15512038329130456	TRIM3	0.012275056567069237	CD80	0.15927323142573802	PTPRK	0.41478318610871356	FAAH2	5.892121098727975e-09	METTL7A	0.5304504625980255	AC009403.1	0.7224695943618553	RAB3D	0.581339650084506	SPATA6	0.0456171942556227
INPP5F	0.5245296849050014	FIZ1	0.38627928658692423	C1orf54	0.0005268922978542124	CD86	0.2308278340851979	ZMIZ1	1.074493973261821e-24	CLTC	0.015118162554608407	MBD5	0.9403319531822282	GCDH	6.920346124885829e-08	BRCC3	4.401447514267536e-07	AC023906.4	0.6745260800453896	MIR99AHG	0.15098791499511477	POLR1A	0.012080245146651567	NEMP1	0.15990234856852448	TIMM23	0.41163686735919447	TRPM7	5.762036373382633e-09	SGPP1	0.5332634706247177	MRPL13	0.7248109370427374	LINC02328	0.5799549698104572	KLHL15	0.045881571167232245
CCDC28B	0.5237920814229602	ZNF493	0.38719955192510047	PIK3CG	0.0005271056709301725	PPID	0.23017448899111115	SDK1	1.2100985193590396e-24	PKNOX1	0.01512790889340109	AC046134.2	0.9408114864464628	GBA2	7.045946882482587e-08	TM9SF4	4.555348251884085e-07	BABAM2	0.6737975221189179	ATP8A1	0.15021231835525123	PPP1R32	0.011800843855462675	AL139099.1	0.15995081991439886	CEP97	0.4029404083392297	RCL1	5.602626807733642e-09	TMEM87A	0.5332634706247177	MPRIP	0.7327051520366754	MAP4K2	0.5779576105915232	TRAPPC6A	0.046200526012839666
ZNF333	0.5211027512209454	LAMP2	0.3916522694559199	FAM53A	0.0005293509551006797	AL163932.1	0.23013097945234895	NR3C2	1.2737061725199415e-24	AC107223.1	0.015144978301852722	LRRC8D	0.9451762038017637	RAD51B	7.080137980502138e-08	AC242426.2	4.8372501891521e-07	SHBG	0.6717176153565714	MCM6	0.14830679305646152	PDE4B	0.01132812735668398	DESI2	0.1605333429318455	PI4K2B	0.3935210961435508	AC068888.1	5.5187972564502746e-09	TMTC2	0.533998537250409	C15orf39	0.7342731654452475	VMP1	0.5767300772493857	ID2	0.04630725833895575
FFAR2	0.5165408945241018	GPHN	0.3931997228448455	CEBPD	0.0005308527591641358	TRIM27	0.22787653734607038	SHBG	1.3204987907390187e-24	ZNF689	0.015149858390015154	AC119673.2	0.9463755957928093	WARS2-AS1	7.22350676378496e-08	KLHL32	4.901424401309859e-07	CCDC92	0.6684987264364071	CDH23	0.14806486947292416	SERTAD3	0.011015972944774943	AC006160.1	0.16063058578075207	SIK2	0.38909172993518815	KATNA1	5.321446245899163e-09	NAMPT	0.5398974318445822	MTAP	0.7342731654452475	DPH7	0.575963493638685	LAMP3	0.046360702304826744
PPT1	0.5150778564872801	ANKIB1	0.39424281800434136	SLX4IP	0.0005318203001954886	AL513303.1	0.22593831632014372	SNX14	1.3898519114207856e-24	APTR	0.015255115759213051	ATR	0.9468553867752951	AC007622.2	7.374777120390358e-08	GALK1	5.058810203273994e-07	DENND3	0.6666324823863895	FKBP14	0.14710018931227412	INTS12	0.011011156779204353	MZF1-AS1	0.1607278731362064	SEC61A1	0.38909172993518815	STX8	5.1577672909835006e-09	SERPINE1	0.5403904745456045	CHST7	0.7359849899177431	AC139887.2	0.5747379613631932	RSRC1	0.046360702304826744
DOT1L	0.5148236349724953	DHRS1	0.3951463033320277	IGLC1	0.0005325739679005463	PPARA	0.22175808518048468	LRP8	1.619364153375207e-24	DUSP16	0.015260027083036132	CBX6	0.9497345313648033	TBC1D9	7.513540310775602e-08	SPATA5	5.370668391665418e-07	TMEM135	0.6645612954545582	HIBCH	0.14149055980454428	AL136456.1	0.010910448547449927	CRB1	0.16082520500822506	TNF	0.3858811925197536	KATNBL1	4.9316740337308564e-09	EXT1	0.5411304605589196	SRPK1	0.736270421740008	NBEAL2	0.5738196224722663	ZMYM4	0.04662870167080195
SPAG16	0.5119998238304689	MFAP1	0.3979777519799803	DISC1	0.0005374427880662475	ARID3B	0.22158864830807334	SMC4	1.707218673902435e-24	WDR19	0.015299367816552853	PHTF1	0.9525183288059382	WDR3	7.58648375839635e-08	CSGALNACT1	5.416705545460999e-07	AC016074.2	0.6634232321307325	RNF19A	0.1385565285309547	APOBEC3G	0.010900900112353023	SLC9B2	0.16116621727272518	SLMAP	0.3854238687071395	PARP6	4.702940610444484e-09	ZMYM4	0.5413772350007271	ZNF200	0.739698432532214	CRIM1	0.5732077830441228	GAB1	0.04689800372498356
